Age,Year,Population
24,1868,35038
25,1868,32580
26,1868,33339
27,1868,31157
28,1868,32029
29,1868,29331
30,1868,28168
31,1868,28881
32,1868,30055
33,1868,30893
34,1868,31051
35,1868,30703
36,1868,27443
37,1868,25370
38,1868,27489
39,1868,28579
40,1868,27114
41,1868,24720
42,1868,27668
43,1868,28386
44,1868,26582
45,1868,27559
46,1868,26303
47,1868,24772
48,1868,22659
49,1868,21583
50,1868,21818
51,1868,20808
52,1868,21519
53,1868,20532
54,1868,18022
55,1868,15410
56,1868,17863
57,1868,17802
58,1868,16235
59,1868,12669
60,1868,13040
61,1868,13713
62,1868,12804
63,1868,12916
64,1868,12584
65,1868,11779
66,1868,12041
67,1868,9891
68,1868,8718
69,1868,9695
70,1868,9440
71,1868,8933
72,1868,8635
73,1868,7085
74,1868,7412
75,1868,6073
76,1868,6040
77,1868,4722
78,1868,3899
79,1868,3307
80,1868,3055
81,1868,1533
82,1868,2127
83,1868,1507
84,1868,1322
85,1868,812
86,1868,817
87,1868,507
88,1868,616
89,1868,222
90,1868,436
91,1868,287
92,1868,0
93,1868,0
94,1868,0
95,1868,0
96,1868,0
97,1868,0
98,1868,0
99,1868,0
100,1868,0
101,1868,0
102,1868,0
103,1868,0
104,1868,0
105,1868,0
106,1868,0
107,1868,0
108,1868,0
109,1868,0
0,1869,51571
1,1869,45394
2,1869,49860
3,1869,52978
4,1869,51242
5,1869,51200
6,1869,49741
7,1869,47977
8,1869,45182
9,1869,47314
10,1869,46775
11,1869,45992
12,1869,41507
13,1869,39554
14,1869,39104
15,1869,41788
16,1869,37786
17,1869,35016
18,1869,36384
19,1869,36422
20,1869,37515
21,1869,34238
22,1869,32146
23,1869,31154
24,1869,33058
25,1869,34216
26,1869,31838
27,1869,32645
28,1869,30465
29,1869,31377
30,1869,28739
31,1869,27629
32,1869,28355
33,1869,29523
34,1869,30361
35,1869,30536
36,1869,30208
37,1869,26983
38,1869,24935
39,1869,27045
40,1869,28106
41,1869,26668
42,1869,24321
43,1869,27240
44,1869,27928
45,1869,26132
46,1869,27132
47,1869,25888
48,1869,24356
49,1869,22247
50,1869,21186
51,1869,21422
52,1869,20403
53,1869,21096
54,1869,20125
55,1869,17652
56,1869,15050
57,1869,17481
58,1869,17367
59,1869,15799
60,1869,12277
61,1869,12632
62,1869,13267
63,1869,12337
64,1869,12441
65,1869,12081
66,1869,11247
67,1869,11499
68,1869,9312
69,1869,8153
70,1869,9119
71,1869,8771
72,1869,8242
73,1869,7981
74,1869,6450
75,1869,6783
76,1869,5450
77,1869,5411
78,1869,4128
79,1869,3388
80,1869,2834
81,1869,2601
82,1869,1128
83,1869,1776
84,1869,1194
85,1869,1056
86,1869,603
87,1869,641
88,1869,335
89,1869,472
90,1869,342
91,1869,287
92,1869,0
93,1869,0
94,1869,0
95,1869,0
96,1869,0
97,1869,0
98,1869,0
99,1869,0
100,1869,0
101,1869,0
102,1869,0
103,1869,0
104,1869,0
105,1869,0
106,1869,0
107,1869,0
108,1869,0
109,1869,0
0,1870,52295
1,1870,48486
2,1870,43300
3,1870,47384
4,1870,51066
5,1870,50082
6,1870,50124
7,1870,48988
8,1870,47256
9,1870,44672
10,1870,47167
11,1870,46771
12,1870,45923
13,1870,41731
14,1870,39706
15,1870,39176
16,1870,41380
17,1870,37364
18,1870,34657
19,1870,35898
20,1870,35809
21,1870,36471
22,1870,33612
23,1870,31359
24,1870,30469
25,1870,32351
26,1870,33342
27,1870,31121
28,1870,31983
29,1870,30074
30,1870,30869
31,1870,28548
32,1870,27317
33,1870,28007
34,1870,29138
35,1870,29986
36,1870,30185
37,1870,29671
38,1870,26574
39,1870,24984
40,1870,26531
41,1870,27487
42,1870,26163
43,1870,24014
44,1870,26748
45,1870,27451
46,1870,25644
47,1870,26561
48,1870,25514
49,1870,23839
50,1870,21910
51,1870,20738
52,1870,21019
53,1870,19912
54,1870,20503
55,1870,19653
56,1870,17192
57,1870,14897
58,1870,16770
59,1870,16989
60,1870,15278
61,1870,12058
62,1870,12230
63,1870,12697
64,1870,11804
65,1870,11913
66,1870,11576
67,1870,10845
68,1870,10708
69,1870,9043
70,1870,7911
71,1870,8415
72,1870,8011
73,1870,7458
74,1870,7091
75,1870,6087
76,1870,5598
77,1870,4999
78,1870,4617
79,1870,3709
80,1870,3040
81,1870,2468
82,1870,2197
83,1870,1543
84,1870,1378
85,1870,1059
86,1870,804
87,1870,544
88,1870,451
89,1870,358
90,1870,813
91,1870,338
92,1870,0
93,1870,0
94,1870,0
95,1870,0
96,1870,0
97,1870,0
98,1870,0
99,1870,0
100,1870,0
101,1870,0
102,1870,0
103,1870,0
104,1870,0
105,1870,0
106,1870,0
107,1870,0
108,1870,0
109,1870,0
0,1871,57235
1,1871,49718
2,1871,47306
3,1871,42383
4,1871,46644
5,1871,50436
6,1871,49525
7,1871,49660
8,1871,48593
9,1871,46922
10,1871,44374
11,1871,46893
12,1871,46526
13,1871,45683
14,1871,41492
15,1871,39478
16,1871,38915
17,1871,41049
18,1871,36992
19,1871,34271
20,1871,35479
21,1871,35352
22,1871,35991
23,1871,33123
24,1871,30913
25,1871,30030
26,1871,31851
27,1871,32853
28,1871,30684
29,1871,31582
30,1871,29715
31,1871,30512
32,1871,28203
33,1871,27012
34,1871,27684
35,1871,28795
36,1871,29653
37,1871,29853
38,1871,29343
39,1871,26256
40,1871,24677
41,1871,26229
42,1871,27164
43,1871,25838
44,1871,23722
45,1871,26452
46,1871,27151
47,1871,25334
48,1871,26223
49,1871,25193
50,1871,23543
51,1871,21617
52,1871,20430
53,1871,20693
54,1871,19574
55,1871,20161
56,1871,19303
57,1871,16854
58,1871,14577
59,1871,16406
60,1871,16590
61,1871,14890
62,1871,11679
63,1871,11841
64,1871,12278
65,1871,11356
66,1871,11440
67,1871,11082
68,1871,10333
69,1871,10183
70,1871,8505
71,1871,7385
72,1871,7861
73,1871,7408
74,1871,6842
75,1871,6479
76,1871,5525
77,1871,5051
78,1871,4437
79,1871,4082
80,1871,3220
81,1871,2606
82,1871,2076
83,1871,1853
84,1871,1251
85,1871,1109
86,1871,826
87,1871,617
88,1871,379
89,1871,310
90,1871,818
91,1871,338
92,1871,0
93,1871,0
94,1871,0
95,1871,0
96,1871,0
97,1871,0
98,1871,0
99,1871,0
100,1871,0
101,1871,0
102,1871,0
103,1871,0
104,1871,0
105,1871,0
106,1871,0
107,1871,0
108,1871,0
109,1871,0
0,1872,56177
1,1872,54474
2,1872,48570
3,1872,46494
4,1872,41768
5,1872,46143
6,1872,49985
7,1872,49121
8,1872,49332
9,1872,48300
10,1872,46648
11,1872,44117
12,1872,46644
13,1872,46301
14,1872,45458
15,1872,41238
16,1872,39195
17,1872,38579
18,1872,40643
19,1872,36567
20,1872,33856
21,1872,35014
22,1872,34838
23,1872,35506
24,1872,32661
25,1872,30462
26,1872,29606
27,1872,31435
28,1872,32426
29,1872,30280
30,1872,31215
31,1872,29376
32,1872,30184
33,1872,27879
34,1872,26712
35,1872,27379
36,1872,28499
37,1872,29357
38,1872,29535
39,1872,29031
40,1872,25968
41,1872,24427
42,1872,25967
43,1872,26876
44,1872,25572
45,1872,23473
46,1872,26187
47,1872,26863
48,1872,25038
49,1872,25923
50,1872,24875
51,1872,23216
